>>> %Run -c $EDITOR_CONTENT

MPY: soft reboot
Boot OK
WiFi connecting...
✅ WiFi IP: 192.168.1.153
connectat cu succes 192.168.1.153
💾 LOADED config.json: R | offset=-26.5°C
🔥 MAX31856 PRO - R | Offset -26.5°C
✅ READY | config.json OK pentru WebUI
✅ Sensor R-type: {'offset': -26.5, 'raw': 405.5, 'temp': 379.0, 'config': {'offset': -26.5, 'type_name': 'R', 'status': 'saved', 'type_code': 5}, 'cj': 27.8, 'delta': 351.2, 'type': 'R', 'type_code': 5}
🔗 Accesează WebUI la: http://192.168.1.153
✅ v12: FIX1+2+3+4+5 - HOLD LOOP FIXED + USER SELECT!
══════════════════════════════════════════════════════════════════════════════════════════
🔍 Tcurentă=379.1°C

📋 ALEGE SEGMENTUL DE START (1-13):
ENTER S# (ex: 3, 4, 5): 6

✅ START S6: 328→750°C
   Ramp: 2.5°C/min | Hold: 0min


MIN | S# | Tcur  | Ttgt | ERR  | RATE | ON(s)| DUTY%| SSR | MODE  | BOOST | SEG_TIME
14m | S 6 | 395.1 | 406.8 | +11.7 |  3.15 |  3.3 |  32.6% |  ON | ramp  | +4.4% |  11.1m
14m | S 6 | 395.7 | 407.2 | +11.5 |  3.30 |  3.2 |  32.3% |  ON | ramp  | +4.4% |  11.2m
14m | S 6 | 396.2 | 407.6 | +11.4 |  3.15 |  3.3 |  32.6% |  ON | ramp  | +4.4% |  11.4m
14m | S 6 | 396.7 | 408.1 | +11.4 |  3.15 |  3.3 |  32.6% |  ON | ramp  | +4.4% |  11.6m
15m | S 6 | 397.2 | 408.5 | +11.3 |  3.15 |  3.3 |  32.6% |  ON | ramp  | +4.4% |  11.8m
15m | S 6 | 397.7 | 408.9 | +11.2 |  3.00 |  3.3 |  32.9% |  ON | ramp  | +4.4% |  11.9m
15m | S 6 | 398.1 | 409.3 | +11.2 |  2.85 |  3.3 |  33.2% |  ON | ramp  | +4.4% |  12.1m
15m | S 6 | 398.6 | 409.7 | +11.1 |  2.85 |  3.3 |  33.2% |  ON | ramp  | +4.4% |  12.2m
15m | S 6 | 399.1 | 410.1 | +11.0 |  2.85 |  3.3 |  33.2% |  ON | ramp  | +4.4% |  12.4m
15m | S 6 | 399.6 | 410.6 | +11.0 |  2.85 |  3.3 |  33.2% |  ON | ramp  | +4.4% |  12.6m
16m | S 6 | 400.1 | 411.0 | +10.9 |  3.00 |  3.3 |  32.9% |  ON | ramp  | +4.4% |  12.8m
16m | S 6 | 400.6 | 411.5 | +10.9 |  2.86 |  3.3 |  33.2% |  ON | ramp  | +4.4% |  13.0m
16m | S 6 | 401.2 | 411.9 | +10.7 |  3.00 |  3.3 |  32.9% |  ON | ramp  | +4.4% |  13.1m
16m | S 6 | 401.6 | 412.3 | +10.7 |  2.86 |  3.3 |  33.2% |  ON | ramp  | +4.4% |  13.3m
16m | S 6 | 402.2 | 412.7 | +10.5 |  3.00 |  3.3 |  32.9% |  ON | ramp  | +4.4% |  13.4m
16m | S 6 | 402.5 | 413.1 | +10.6 |  2.85 |  3.3 |  33.2% |  ON | ramp  | +4.4% |  13.6m
17m | S 6 | 403.1 | 413.6 | +10.5 |  2.85 |  3.3 |  33.2% |  ON | ramp  | +4.4% |  13.8m
17m | S 6 | 403.6 | 414.0 | +10.4 |  3.00 |  3.3 |  32.9% |  ON | ramp  | +4.4% |  14.0m
17m | S 6 | 404.0 | 414.4 | +10.4 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  14.1m
