>>> %Run -c $EDITOR_CONTENT

MPY: soft reboot
Boot OK
WiFi connecting...
✅ WiFi IP: 192.168.1.153
connectat cu succes 192.168.1.153
💾 LOADED config.json: R | offset=-26.5°C
🔥 MAX31856 PRO - R | Offset -26.5°C
✅ READY | config.json OK pentru WebUI
✅ Sensor R-type: {'offset': -26.5, 'raw': 405.5, 'temp': 379.0, 'config': {'offset': -26.5, 'type_name': 'R', 'status': 'saved', 'type_code': 5}, 'cj': 27.8, 'delta': 351.2, 'type': 'R', 'type_code': 5}
🔗 Accesează WebUI la: http://192.168.1.153
✅ v12: FIX1+2+3+4+5 - HOLD LOOP FIXED + USER SELECT!
══════════════════════════════════════════════════════════════════════════════════════════
🔍 Tcurentă=379.1°C

📋 ALEGE SEGMENTUL DE START (1-13):
ENTER S# (ex: 3, 4, 5): 6

✅ START S6: 328→750°C
   Ramp: 2.5°C/min | Hold: 0min


MIN | S# | Tcur  | Ttgt | ERR  | RATE | ON(s)| DUTY%| SSR | MODE  | BOOST | SEG_TIME
13m | S 7 | 502.7 | 520.4 | +17.7 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  13.6m
14m | S 7 | 503.1 | 520.9 | +17.8 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  13.8m
14m | S 7 | 503.5 | 521.3 | +17.8 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  14.0m
14m | S 7 | 504.0 | 521.7 | +17.7 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  14.1m
14m | S 7 | 504.5 | 522.1 | +17.6 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  14.3m
14m | S 7 | 505.0 | 522.5 | +17.5 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  14.4m
14m | S 7 | 505.3 | 522.9 | +17.6 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  14.6m
15m | S 7 | 505.7 | 523.4 | +17.7 |  2.49 |  4.0 |  39.9% |  ON | ramp  | +5.4% |  14.8m
15m | S 7 | 506.2 | 523.8 | +17.6 |  2.49 |  4.0 |  39.9% |  ON | ramp  | +5.4% |  15.0m
15m | S 7 | 506.7 | 524.2 | +17.5 |  2.49 |  4.0 |  39.9% |  ON | ramp  | +5.4% |  15.1m
15m | S 7 | 507.1 | 524.6 | +17.6 |  2.63 |  4.0 |  39.6% |  ON | ramp  | +5.4% |  15.3m
15m | S 7 | 507.6 | 525.1 | +17.5 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  15.5m
15m | S 7 | 508.0 | 525.5 | +17.5 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  15.6m
16m | S 7 | 508.5 | 525.9 | +17.4 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  15.8m
16m | S 7 | 508.8 | 526.3 | +17.5 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  16.0m
16m | S 7 | 509.3 | 526.7 | +17.4 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  16.1m
16m | S 7 | 509.8 | 527.2 | +17.4 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  16.3m
16m | S 7 | 510.1 | 527.6 | +17.5 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  16.5m
16m | S 7 | 510.6 | 528.0 | +17.4 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  16.6m
17m | S 7 | 511.0 | 528.4 | +17.4 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  16.8m
17m | S 7 | 511.5 | 528.8 | +17.3 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  17.0m
17m | S 7 | 511.9 | 529.2 | +17.3 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  17.1m
17m | S 7 | 512.3 | 529.6 | +17.4 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  17.3m
17m | S 7 | 512.7 | 530.1 | +17.4 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  17.5m
17m | S 7 | 513.1 | 530.5 | +17.4 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  17.6m
18m | S 7 | 513.6 | 530.9 | +17.3 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  17.8m
18m | S 7 | 514.0 | 531.3 | +17.3 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  18.0m
18m | S 7 | 514.5 | 531.8 | +17.3 |  2.57 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  18.2m
18m | S 7 | 515.0 | 532.2 | +17.2 |  2.71 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  18.3m
18m | S 7 | 515.4 | 532.6 | +17.2 |  2.57 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  18.5m
18m | S 7 | 515.9 | 533.1 | +17.2 |  2.71 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  18.7m
19m | S 7 | 516.2 | 533.5 | +17.3 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  18.8m
19m | S 7 | 516.6 | 533.9 | +17.3 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  19.0m
19m | S 7 | 517.1 | 534.3 | +17.2 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  19.2m
19m | S 7 | 517.4 | 534.7 | +17.3 |  2.25 |  4.0 |  40.4% |  ON | ramp  | +5.4% |  19.3m
19m | S 7 | 517.9 | 535.2 | +17.2 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  19.5m
19m | S 7 | 518.3 | 535.6 | +17.3 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  19.7m
20m | S 7 | 518.8 | 536.0 | +17.2 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  19.8m
20m | S 7 | 519.2 | 536.4 | +17.2 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  20.0m
20m | S 7 | 519.6 | 536.8 | +17.2 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  20.2m
20m | S 7 | 520.1 | 537.2 | +17.1 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  20.3m
20m | S 7 | 520.5 | 537.6 | +17.2 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  20.5m
20m | S 7 | 520.9 | 538.1 | +17.2 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  20.7m
21m | S 7 | 521.3 | 538.5 | +17.2 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  20.8m
21m | S 7 | 521.6 | 538.9 | +17.3 |  2.25 |  4.0 |  40.4% |  ON | ramp  | +5.4% |  21.0m
21m | S 7 | 522.1 | 539.3 | +17.2 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  21.2m
21m | S 7 | 522.5 | 539.7 | +17.2 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  21.3m
21m | S 7 | 522.9 | 540.2 | +17.2 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  21.5m
21m | S 7 | 523.5 | 540.6 | +17.1 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  21.7m
22m | S 7 | 523.7 | 541.0 | +17.3 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  21.8m
22m | S 7 | 524.1 | 541.4 | +17.3 |  2.34 |  4.0 |  40.2% |  ON | ramp  | +5.4% |  22.0m
22m | S 7 | 524.6 | 541.9 | +17.3 |  2.49 |  4.0 |  39.9% |  ON | ramp  | +5.4% |  22.2m
22m | S 7 | 525.0 | 542.3 | +17.3 |  2.20 |  4.1 |  40.5% |  ON | ramp  | +5.4% |  22.4m
22m | S 7 | 525.4 | 542.7 | +17.3 |  2.49 |  4.0 |  39.9% |  ON | ramp  | +5.4% |  22.5m
22m | S 7 | 525.9 | 543.1 | +17.2 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  22.7m
23m | S 7 | 526.2 | 543.5 | +17.3 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  22.8m
23m | S 7 | 526.7 | 543.9 | +17.2 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  23.0m
23m | S 7 | 527.1 | 544.4 | +17.3 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  23.2m
23m | S 7 | 527.5 | 544.8 | +17.3 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  23.4m
23m | S 7 | 527.8 | 545.2 | +17.4 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  23.5m
23m | S 7 | 528.2 | 545.6 | +17.4 |  2.25 |  4.0 |  40.4% |  ON | ramp  | +5.4% |  23.7m
24m | S 7 | 528.6 | 546.0 | +17.4 |  2.25 |  4.0 |  40.4% |  ON | ramp  | +5.4% |  23.8m
24m | S 7 | 529.1 | 546.4 | +17.3 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  24.0m
24m | S 7 | 529.5 | 546.9 | +17.4 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  24.2m
24m | S 7 | 529.9 | 547.3 | +17.4 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  24.4m
24m | S 7 | 530.3 | 547.7 | +17.4 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  24.5m
24m | S 7 | 530.7 | 548.1 | +17.4 |  2.34 |  4.0 |  40.2% |  ON | ramp  | +5.4% |  24.7m
25m | S 7 | 531.1 | 548.6 | +17.5 |  2.34 |  4.0 |  40.2% |  ON | ramp  | +5.4% |  24.9m
25m | S 7 | 531.5 | 549.0 | +17.5 |  2.34 |  4.0 |  40.2% |  ON | ramp  | +5.4% |  25.0m
✅ LOG SAVED: profile_run.txt
🛑 EMERGENCY STOP
>>> %Run -c $EDITOR_CONTENT

✅ v12: - HOLD LOOP FIXED + USER SELECT!
══════════════════════════════════════════════════════════════════════════════════════════
AVAILABLE SEGMENTS - SELECT START:
S 1:    0→  150°C@ 2.50°C/min
S 2:  150→  150°C@ 0.00°C/min Hold:180m
S 3:  150→  370°C@ 3.66°C/min
S 4:  370→  370°C@ 0.00°C/min Hold:60m
S 5:  370→  448°C@ 2.50°C/min
S 6:  448→  523°C@ 2.50°C/min
S 7:  523→  700°C@ 2.50°C/min
S 8:  700→  750°C@ 2.50°C/min Hold:240m
S 9:  750→  640°C@ 0.00°C/min
══════════════════════════════════════════════════════════════════════════════════════════

🔍 Tcurentă=488.3°C

📋 ALEGE SEGMENTUL DE START (1-13):
ENTER S# (ex: 3, 4, 5): 6

✅ START S6: 448→523°C
   Ramp: 2.5°C/min | Hold: 0min

MIN |  S# |  Tcur | Ttgt  |  ERR |  RATE | ON(s)| DUTY%  | SSR | MODE  | BOOST | SEG_TIME
══════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
 0m | S 6 | 487.9 | 488.3 | +0.4 |  0.00 |  4.5 |  44.9% |  ON | ramp  | +5.4% |   0.0m
 0m | S 6 | 487.7 | 488.7 | +1.0 | -1.20 |  4.7 |  47.3% |  ON | ramp  | +5.4% |   0.2m
 0m | S 6 | 487.4 | 489.2 | +1.8 | -1.43 |  4.8 |  47.8% |  ON | ramp  | +5.4% |   0.4m
 0m | S 6 | 487.1 | 489.6 | +2.5 | -1.55 |  4.8 |  48.0% |  ON | ramp  | +5.4% |   0.5m
 1m | S 6 | 486.9 | 490.0 | +3.1 | -1.46 |  4.8 |  47.8% |  ON | ramp  | +5.4% |   0.7m
 1m | S 6 | 486.7 | 490.4 | +3.7 | -1.46 |  4.8 |  47.8% |  ON | ramp  | +5.4% |   0.8m
 1m | S 6 | 486.5 | 490.8 | +4.3 | -1.35 |  4.8 |  47.6% |  ON | ramp  | +5.4% |   1.0m
 1m | S 6 | 486.4 | 491.3 | +4.9 | -1.05 |  4.7 |  47.0% |  ON | ramp  | +5.4% |   1.2m
 1m | S 6 | 486.1 | 491.7 | +5.6 | -1.20 |  4.7 |  47.3% |  ON | ramp  | +5.4% |   1.4m
 1m | S 6 | 486.0 | 492.1 | +6.1 | -1.05 |  4.7 |  47.0% |  ON | ramp  | +5.4% |   1.5m
 2m | S 6 | 485.7 | 492.5 | +6.8 | -1.20 |  4.7 |  47.3% |  ON | ramp  | +5.4% |   1.7m
 2m | S 6 | 485.7 | 492.9 | +7.2 | -1.05 |  4.7 |  47.0% |  ON | ramp  | +5.4% |   1.8m
 2m | S 6 | 485.6 | 493.3 | +7.7 | -0.75 |  4.6 |  46.4% |  ON | ramp  | +5.4% |   2.0m
 2m | S 6 | 485.4 | 493.8 | +8.4 | -0.90 |  4.7 |  46.7% |  ON | ramp  | +5.4% |   2.2m
 2m | S 6 | 485.4 | 494.2 | +8.8 | -0.45 |  4.6 |  45.8% |  ON | ramp  | +5.4% |   2.4m
 2m | S 6 | 485.2 | 494.6 | +9.4 | -0.75 |  4.6 |  46.4% |  ON | ramp  | +5.4% |   2.5m
 3m | S 6 | 485.2 | 495.0 | +9.8 | -0.60 |  4.6 |  46.1% |  ON | ramp  | +5.4% |   2.7m
 3m | S 6 | 485.1 | 495.4 | +10.3 | -0.45 |  4.6 |  45.8% |  ON | ramp  | +5.4% |   2.8m
 3m | S 6 | 485.1 | 495.8 | +10.7 | -0.45 |  4.6 |  45.8% |  ON | ramp  | +5.4% |   3.0m
 3m | S 6 | 485.2 | 496.3 | +11.1 |  0.00 |  4.5 |  44.9% |  ON | ramp  | +5.4% |   3.2m
 3m | S 6 | 485.2 | 496.7 | +11.5 |  0.00 |  4.5 |  44.9% |  ON | ramp  | +5.4% |   3.4m
 3m | S 6 | 485.2 | 497.1 | +11.9 |  0.15 |  4.5 |  44.6% |  ON | ramp  | +5.4% |   3.5m
 4m | S 6 | 485.3 | 497.5 | +12.2 |  0.30 |  4.4 |  44.3% |  ON | ramp  | +5.4% |   3.7m
 4m | S 6 | 485.4 | 497.9 | +12.5 |  0.30 |  4.4 |  44.3% |  ON | ramp  | +5.4% |   3.8m
 4m | S 6 | 485.5 | 498.3 | +12.8 |  0.45 |  4.4 |  44.0% |  ON | ramp  | +5.4% |   4.0m
 4m | S 6 | 485.6 | 498.8 | +13.2 |  0.60 |  4.4 |  43.7% |  ON | ramp  | +5.4% |   4.2m
 4m | S 6 | 485.7 | 499.2 | +13.5 |  0.60 |  4.4 |  43.7% |  ON | ramp  | +5.4% |   4.4m
 4m | S 6 | 485.8 | 499.6 | +13.8 |  0.60 |  4.4 |  43.7% |  ON | ramp  | +5.4% |   4.5m
 5m | S 6 | 486.1 | 500.0 | +13.9 |  0.88 |  4.3 |  43.1% |  ON | ramp  | +5.4% |   4.7m
 5m | S 6 | 486.3 | 500.5 | +14.2 |  1.02 |  4.3 |  42.9% |  ON | ramp  | +5.4% |   4.9m
 5m | S 6 | 486.4 | 500.9 | +14.5 |  1.02 |  4.3 |  42.9% |  ON | ramp  | +5.4% |   5.0m
 5m | S 6 | 486.7 | 501.3 | +14.6 |  1.32 |  4.2 |  42.3% |  ON | ramp  | +5.4% |   5.2m
 5m | S 6 | 487.1 | 501.8 | +14.7 |  1.46 |  4.2 |  42.0% |  ON | ramp  | +5.4% |   5.4m
 5m | S 6 | 487.2 | 502.2 | +15.0 |  1.32 |  4.2 |  42.3% |  ON | ramp  | +5.4% |   5.6m
 6m | S 6 | 487.5 | 502.6 | +15.1 |  1.61 |  4.2 |  41.7% |  ON | ramp  | +5.4% |   5.7m
 6m | S 6 | 487.8 | 503.0 | +15.2 |  1.61 |  4.2 |  41.7% |  ON | ramp  | +5.4% |   5.9m
 6m | S 6 | 488.1 | 503.4 | +15.3 |  1.50 |  4.2 |  41.9% |  ON | ramp  | +5.4% |   6.0m
 6m | S 6 | 488.5 | 503.8 | +15.3 |  1.95 |  4.1 |  41.0% |  ON | ramp  | +5.4% |   6.2m
 6m | S 6 | 488.6 | 504.3 | +15.7 |  1.65 |  4.2 |  41.6% |  ON | ramp  | +5.4% |   6.4m
 6m | S 6 | 488.8 | 504.7 | +15.9 |  1.50 |  4.2 |  41.9% |  ON | ramp  | +5.4% |   6.6m
 7m | S 6 | 489.0 | 505.1 | +16.1 |  1.35 |  4.2 |  42.2% |  ON | ramp  | +5.4% |   6.7m
 7m | S 6 | 489.3 | 505.5 | +16.2 |  1.20 |  4.3 |  42.5% |  ON | ramp  | +5.4% |   6.9m
 7m | S 6 | 489.6 | 505.9 | +16.3 |  1.50 |  4.2 |  41.9% |  ON | ramp  | +5.4% |   7.0m
 7m | S 6 | 490.1 | 506.3 | +16.2 |  1.95 |  4.1 |  41.0% |  ON | ramp  | +5.4% |   7.2m
 7m | S 6 | 490.4 | 506.8 | +16.4 |  2.10 |  4.1 |  40.7% |  ON | ramp  | +5.4% |   7.4m
 7m | S 6 | 490.8 | 507.2 | +16.4 |  2.20 |  4.1 |  40.5% |  ON | ramp  | +5.4% |   7.6m
 8m | S 6 | 491.2 | 507.6 | +16.4 |  2.34 |  4.0 |  40.2% |  ON | ramp  | +5.4% |   7.7m
 8m | S 6 | 491.6 | 508.0 | +16.4 |  2.20 |  4.1 |  40.5% |  ON | ramp  | +5.4% |   7.9m
 8m | S 6 | 492.1 | 508.5 | +16.4 |  2.49 |  4.0 |  39.9% |  ON | ramp  | +5.4% |   8.1m
 8m | S 6 | 492.4 | 508.9 | +16.5 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |   8.2m
 8m | S 6 | 492.8 | 509.3 | +16.5 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |   8.4m
 8m | S 6 | 493.2 | 509.7 | +16.5 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |   8.6m
 9m | S 6 | 493.6 | 510.1 | +16.5 |  2.25 |  4.0 |  40.4% |  ON | ramp  | +5.4% |   8.7m
 9m | S 6 | 493.9 | 510.6 | +16.6 |  2.25 |  4.0 |  40.4% |  ON | ramp  | +5.4% |   8.9m
 9m | S 6 | 494.2 | 511.0 | +16.8 |  2.10 |  4.1 |  40.7% |  ON | ramp  | +5.4% |   9.1m
 9m | S 6 | 494.6 | 511.4 | +16.8 |  2.10 |  4.1 |  40.7% |  ON | ramp  | +5.4% |   9.2m
 9m | S 6 | 495.0 | 511.8 | +16.8 |  2.10 |  4.1 |  40.7% |  ON | ramp  | +5.4% |   9.4m
 9m | S 6 | 495.5 | 512.2 | +16.7 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |   9.6m
10m | S 6 | 495.8 | 512.6 | +16.8 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |   9.7m
10m | S 6 | 496.1 | 513.0 | +16.9 |  2.25 |  4.0 |  40.4% |  ON | ramp  | +5.4% |   9.9m
10m | S 6 | 496.5 | 513.5 | +17.0 |  2.25 |  4.0 |  40.4% |  ON | ramp  | +5.4% |  10.1m
10m | S 6 | 497.0 | 513.9 | +16.9 |  2.25 |  4.0 |  40.4% |  ON | ramp  | +5.4% |  10.2m
10m | S 6 | 497.5 | 514.3 | +16.8 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  10.4m
10m | S 6 | 497.9 | 514.7 | +16.8 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  10.6m
11m | S 6 | 498.4 | 515.1 | +16.7 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  10.7m
11m | S 6 | 499.0 | 515.6 | +16.5 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  10.9m
11m | S 6 | 499.4 | 516.0 | +16.6 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  11.1m
11m | S 6 | 500.0 | 516.4 | +16.4 |  3.15 |  3.9 |  38.6% |  ON | ramp  | +5.4% |  11.2m
11m | S 6 | 500.6 | 516.8 | +16.2 |  3.22 |  3.8 |  38.5% |  ON | ramp  | +5.4% |  11.4m
12m | S 6 | 501.1 | 517.3 | +16.2 |  3.07 |  3.9 |  38.8% |  ON | ramp  | +5.4% |  11.6m
12m | S 6 | 501.5 | 517.7 | +16.2 |  3.07 |  3.9 |  38.8% |  ON | ramp  | +5.4% |  11.8m
12m | S 6 | 502.1 | 518.1 | +16.0 |  3.07 |  3.9 |  38.8% |  ON | ramp  | +5.4% |  11.9m
12m | S 6 | 502.6 | 518.5 | +15.9 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  12.1m
12m | S 6 | 503.1 | 518.9 | +15.8 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  12.2m
12m | S 6 | 503.7 | 519.3 | +15.6 |  3.30 |  3.8 |  38.3% |  ON | ramp  | +5.4% |  12.4m
13m | S 6 | 504.1 | 519.8 | +15.7 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  12.6m
13m | S 6 | 504.6 | 520.2 | +15.6 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  12.8m
13m | S 6 | 505.2 | 520.6 | +15.4 |  3.07 |  3.9 |  38.8% |  ON | ramp  | +5.4% |  12.9m
13m | S 6 | 505.7 | 521.1 | +15.4 |  2.86 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  13.1m
13m | S 6 | 506.3 | 521.5 | +15.2 |  3.14 |  3.9 |  38.6% |  ON | ramp  | +5.4% |  13.3m
13m | S 6 | 506.7 | 521.9 | +15.2 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  13.4m
14m | S 6 | 507.1 | 522.3 | +15.2 |  2.78 |  3.9 |  39.3% |  ON | ramp  | +5.4% |  13.6m
14m | S 6 | 507.7 | 522.8 | +15.1 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  13.8m
14m | S 6 | 508.1 | 523.0 | +14.9 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  14.0m
14m | S 6 | 508.6 | 523.0 | +14.4 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  14.1m
14m | S 6 | 509.1 | 523.0 | +13.9 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  14.3m
14m | S 6 | 509.7 | 523.0 | +13.3 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  14.4m
15m | S 6 | 510.1 | 523.0 | +12.9 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  14.6m
15m | S 6 | 510.5 | 523.0 | +12.5 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  14.8m
15m | S 6 | 511.0 | 523.0 | +12.0 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  15.0m
15m | S 6 | 511.4 | 523.0 | +11.6 |  2.49 |  4.0 |  39.9% |  ON | ramp  | +5.4% |  15.1m
15m | S 6 | 511.9 | 523.0 | +11.1 |  2.63 |  4.0 |  39.6% |  ON | ramp  | +5.4% |  15.3m
15m | S 6 | 512.3 | 523.0 | +10.7 |  2.63 |  4.0 |  39.6% |  ON | ramp  | +5.4% |  15.5m
16m | S 6 | 512.7 | 523.0 | +10.3 |  2.49 |  4.0 |  39.9% |  ON | ramp  | +5.4% |  15.6m
16m | S 6 | 513.2 | 523.0 | +9.8 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  15.8m
16m | S 6 | 513.7 | 523.0 | +9.3 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  16.0m
16m | S 6 | 514.0 | 523.0 | +9.0 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  16.1m
16m | S 6 | 514.5 | 523.0 | +8.5 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  16.3m
16m | S 6 | 514.8 | 523.0 | +8.2 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  16.5m
17m | S 6 | 515.3 | 523.0 | +7.7 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  16.6m
17m | S 6 | 515.7 | 523.0 | +7.3 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  16.8m
17m | S 6 | 516.1 | 523.0 | +6.9 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  17.0m
17m | S 6 | 516.5 | 523.0 | +6.5 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  17.1m
17m | S 6 | 516.9 | 523.0 | +6.1 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  17.3m
17m | S 6 | 517.3 | 523.0 | +5.7 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  17.5m
18m | S 6 | 517.7 | 523.0 | +5.3 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |  17.6m
18m | S 6 | 518.2 | 523.0 | +4.8 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  17.8m
18m | S 6 | 518.6 | 523.0 | +4.4 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  18.0m
18m | S 6 | 518.8 | 523.0 | +4.2 |  2.25 |  4.0 |  40.4% |  ON | ramp  | +5.4% |  18.1m
18m | S 6 | 519.2 | 523.0 | +3.8 |  2.25 |  4.0 |  40.4% |  ON | ramp  | +5.4% |  18.3m
18m | S 6 | 519.7 | 523.0 | +3.3 |  2.25 |  4.0 |  40.4% |  ON | ramp  | +5.4% |  18.5m

✅ RAMP OK S6: 520.0°C

➤ NEXT S7: 523→700°C
19m | S 6 | 520.0 | 523.0 | +3.0 |  2.10 |  4.1 |  40.7% |  ON | ramp  | +5.4% |  18.6m
19m | S 7 | 520.4 | 520.8 | +0.4 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |   0.2m
19m | S 7 | 520.8 | 521.2 | +0.4 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |   0.3m
19m | S 7 | 521.3 | 521.6 | +0.4 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |   0.5m
19m | S 7 | 521.6 | 522.1 | +0.5 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |   0.7m
19m | S 7 | 522.0 | 522.5 | +0.5 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |   0.8m
20m | S 7 | 522.3 | 522.9 | +0.6 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |   1.0m
20m | S 7 | 522.8 | 523.3 | +0.5 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |   1.2m
20m | S 7 | 523.0 | 523.7 | +0.7 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |   1.3m
20m | S 7 | 523.4 | 524.2 | +0.8 |  2.05 |  4.7 |  46.8% |  ON | ramp  | +6.4% |   1.5m
20m | S 7 | 523.8 | 524.6 | +0.8 |  2.20 |  4.7 |  46.5% |  ON | ramp  | +6.4% |   1.7m
20m | S 7 | 524.2 | 525.1 | +0.9 |  2.00 |  4.7 |  46.9% |  ON | ramp  | +6.4% |   1.9m
21m | S 7 | 524.6 | 525.5 | +0.9 |  2.29 |  4.6 |  46.3% |  ON | ramp  | +6.4% |   2.0m
21m | S 7 | 524.9 | 525.9 | +1.0 |  2.20 |  4.7 |  46.5% |  ON | ramp  | +6.4% |   2.2m
21m | S 7 | 525.3 | 526.3 | +1.0 |  2.20 |  4.7 |  46.5% |  ON | ramp  | +6.4% |   2.4m
21m | S 7 | 525.7 | 526.7 | +1.0 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |   2.5m
